id,title,description,status,priority,effort,scope,phase,created_at,updated_at
FT-0101,Scaffold repository structure,"Created client, server, shared/reference, db/liquibase, docs, scripts, and local infra structure.",done - pass 2,high,M,repo,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0102,Scaffold ASP.NET Core API,"Created FinanceTracker.Api project, solution, config, launch settings, DI, controllers, and backend service shell.",done - pass 2,high,L,backend,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0103,Scaffold React frontend,"Created React/Vite source tree, route shell, package metadata, Vite config, theme CSS, and API URL config for port 5273 to backend 8353.",done - pass 2,high,M,frontend,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0104,Configure local services,"Added docker-compose.local.yml and .env.example for PostgreSQL on 5438 and MinIO on 9010/9011.",done - pass 2,high,M,infra,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0105,Wire reusable auth,"Added a development authenticated-user bridge and /api/v1/auth/me compatibility endpoint; final shared-auth module swap is tracked as FT-P2-0001.",done - pass 2,high,L,auth,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0106,Wire object storage,"Added S3-compatible storage configuration, prefixes, abstraction, and diagnostic service using the finance local MinIO ports.",done - pass 2,high,M,backend,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0107,Add health endpoint,"Added /api/v1/health covering API, PostgreSQL connection attempt, storage diagnostics, and storage config snapshot.",done - pass 2,medium,S,backend,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0108,Create frontend route shell,"Added dashboard, accounts, transactions, imports, subscriptions, reports, and settings routes.",done - pass 2,high,M,frontend,Phase 1,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0201,Configure Liquibase,"Added Liquibase properties and master changelog under db/liquibase.",done - pass 2,high,M,database,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0202,Create core finance schema,"Added formatted SQL Liquibase migration for accounts, transactions, transaction_splits, constraints, triggers, and indexes.",done - pass 2,high,L,database,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0203,Create finance domain models,"Added C# account, transaction, and split models using SqlMapper table and primary-key attributes.",done - pass 2,high,M,backend,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0204,Create account and transaction DTOs,"Added account DTOs, transaction DTOs, split DTOs, filters, and paged result contract.",done - pass 2,high,M,backend,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0205,Create service layer skeleton,"Added AccountService, TransactionService, TransferService, ImportService, ReportService, GuidanceService, current-user context, and health diagnostics.",done - pass 2,high,M,backend,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0206,Create frontend finance contracts,"Added TypeScript finance contracts in client/src/types/schema.ts.",done - pass 2,high,S,frontend,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0207,Create API service hooks,"Added shared HTTP wrapper plus account and transaction service hooks.",done - pass 2,high,M,frontend,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-0208,Create money and date utilities,"Added formatMoney, formatDate, toApiDate, monthRange, and calculateMonthlyRange utilities.",done - pass 2,medium,S,shared,Phase 2,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-P2-0001,Swap development auth bridge for reusable auth,"Replace the temporary development auth handler with the shared pipeline-template authentication module once the app is linked to that project.",todo,high,M,auth,Follow-up,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-P2-0002,Install Node and verify frontend build,"Install Node/npm in this shell or run the client build from an environment where Node is available.",todo,medium,S,frontend,Follow-up,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00
FT-P2-0003,Run Liquibase against local database,"Start local PostgreSQL and run Liquibase update to apply the Phase 2 schema.",todo,high,S,database,Follow-up,2026-05-30T23:26:09-04:00,2026-05-30T23:26:09-04:00

